,NO_1_NO_2,NO_2_NO_1,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_SE_3,SE_3_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,715.21624775,0.0,261.6534125,0.0,339.2387915,0.0,1179.6106272499999,-715.21624775,-261.6534125,-339.2387915,-1179.6106272499999,-2495.7190789999995,None,NO_1,2026-04-23
2026-01-01 01:00:00+00:00,0.0,787.797202,0.0,209.00604425,0.0,214.78943175,0.0,1327.59316175,-787.797202,-209.00604425,-214.78943175,-1327.59316175,-2539.18583975,None,NO_1,2026-04-23
2026-01-01 02:00:00+00:00,0.0,792.48639325,0.0,170.62364374999999,0.0,146.03868925,0.0,1548.2595205,-792.48639325,-170.62364374999999,-146.03868925,-1548.2595205,-2657.40824675,None,NO_1,2026-04-23
2026-01-01 03:00:00+00:00,0.0,717.287783,0.0,144.22974325,0.0,225.34079,0.0,1600.3306445,-717.287783,-144.22974325,-225.34079,-1600.3306445,-2687.1889607499998,None,NO_1,2026-04-23
2026-01-01 04:00:00+00:00,0.0,766.1076265,0.0,173.07782500000002,0.0,333.16971325,0.0,1487.803666,-766.1076265,-173.07782500000002,-333.16971325,-1487.803666,-2760.1588307499997,None,NO_1,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1070.74019825,0.0,133.3359105,0.0,341.68688725,0.0,1366.8503325000001,-1070.74019825,-133.3359105,-341.68688725,-1366.8503325000001,-2912.6133285,None,NO_1,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1106.89877,0.0,182.2771945,0.0,422.246505,0.0,1396.89051325,-1106.89877,-182.2771945,-422.246505,-1396.89051325,-3108.3129827499997,None,NO_1,2026-04-23
2026-01-01 07:00:00+00:00,0.0,995.8753322499999,0.0,206.07761349999998,0.0,533.23382875,0.0,1477.72881525,-995.8753322499999,-206.07761349999998,-533.23382875,-1477.72881525,-3212.91558975,None,NO_1,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1012.072541,0.0,214.11631275,0.0,569.6720417500001,0.0,1495.5847135,-1012.072541,-214.11631275,-569.6720417500001,-1495.5847135,-3291.445609,None,NO_1,2026-04-23
2026-01-01 09:00:00+00:00,0.0,869.445624,0.0,266.69712849999996,0.0,797.17035575,0.0,1535.4389225,-869.445624,-266.69712849999996,-797.17035575,-1535.4389225,-3468.75203075,None,NO_1,2026-04-23
2026-01-01 10:00:00+00:00,0.0,651.36883675,0.0,288.01613199999997,0.0,960.4457485,0.0,1598.26712675,-651.36883675,-288.01613199999997,-960.4457485,-1598.26712675,-3498.097844,None,NO_1,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1223.1990270000001,0.0,276.04571599999997,0.0,543.95257925,0.0,1499.63085325,-1223.1990270000001,-276.04571599999997,-543.95257925,-1499.63085325,-3542.8281755,None,NO_1,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1101.2720555,0.0,298.964292,0.0,687.85574775,0.0,1535.61057425,-1101.2720555,-298.964292,-687.85574775,-1535.61057425,-3623.7026695,None,NO_1,2026-04-23
2026-01-01 13:00:00+00:00,0.0,754.30868925,0.0,300.8114815,0.0,873.777598,0.0,1652.9762154999999,-754.30868925,-300.8114815,-873.777598,-1652.9762154999999,-3581.87398425,None,NO_1,2026-04-23
2026-01-01 14:00:00+00:00,0.0,859.82892125,0.0,299.98290975,0.0,828.8846975,0.0,1575.53566825,-859.82892125,-299.98290975,-828.8846975,-1575.53566825,-3564.23219675,None,NO_1,2026-04-23
2026-01-01 15:00:00+00:00,0.0,940.12800925,0.0,299.312033,0.0,836.2033395,0.0,1567.8963804999999,-940.12800925,-299.312033,-836.2033395,-1567.8963804999999,-3643.53976225,None,NO_1,2026-04-23
2026-01-01 16:00:00+00:00,0.0,953.8272167499999,0.0,286.38658725,0.0,980.4604515,0.0,1376.85335975,-953.8272167499999,-286.38658725,-980.4604515,-1376.85335975,-3597.52761525,None,NO_1,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1150.86541575,0.0,295.1108775,0.0,952.48867075,0.0,1088.977344,-1150.86541575,-295.1108775,-952.48867075,-1088.977344,-3487.4423079999997,None,NO_1,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1159.22914825,0.0,322.3928035,0.0,835.86919375,0.0,1134.87326825,-1159.22914825,-322.3928035,-835.86919375,-1134.87326825,-3452.36441375,None,NO_1,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1348.792716,0.0,299.43358925,0.0,643.35488175,0.0,983.6228505,-1348.792716,-299.43358925,-643.35488175,-983.6228505,-3275.2040374999997,None,NO_1,2026-04-23
