,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,3.0,1095.0,0.0,0.0,0.0,161.5,0.0,206.5,0.0,223.5,1689.5,138.25,0.0,4302.25,1827.75,4302.25,-2474.5,None,IT_CSUD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1014.0,0.0,0.0,0.0,149.25,0.0,205.25,0.0,180.25,1548.75,0.0,49.25,3953.0,1548.75,4002.25,-2453.5,None,IT_CSUD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,944.75,0.0,0.0,0.0,149.0,0.0,207.25,0.0,108.25,1409.25,0.0,156.5,3668.25,1409.25,3824.75,-2415.5,None,IT_CSUD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,914.25,0.0,0.0,0.0,163.0,0.0,208.5,0.0,83.5,1369.25,0.0,7.0,3536.75,1369.25,3543.75,-2174.5,None,IT_CSUD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,916.75,0.0,0.0,0.0,174.25,0.0,209.75,0.0,108.25,1409.0,170.0,0.0,3537.5,1579.0,3537.5,-1958.5,None,IT_CSUD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,923.75,0.0,0.0,0.0,170.75,0.0,209.0,0.0,161.5,1465.0,214.0,0.0,3717.25,1679.0,3717.25,-2038.25,None,IT_CSUD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,784.25,0.0,0.0,0.0,202.75,0.0,209.25,20.5,222.5,1439.25,12.75,0.0,3784.5,1452.0,3784.5,-2332.5,None,IT_CSUD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,756.5,0.0,0.0,0.0,208.5,0.0,212.0,401.0,266.5,1844.5,86.75,0.0,4025.5,1931.25,4025.5,-2094.25,None,IT_CSUD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,672.5,0.0,0.0,0.0,179.75,0.0,210.75,1057.75,263.5,2384.25,114.0,0.0,4440.5,2498.25,4440.5,-1942.25,None,IT_CSUD,2026-04-23
2026-01-01 09:00:00+00:00,0.0,700.0,0.0,0.0,0.0,166.75,0.0,212.0,1621.25,190.0,2890.0,9.25,0.0,4806.25,2899.25,4806.25,-1907.0,None,IT_CSUD,2026-04-23
2026-01-01 10:00:00+00:00,0.0,749.0,0.0,0.0,0.0,159.5,0.0,212.5,1846.0,243.25,3210.25,0.0,129.25,4998.75,3210.25,5128.0,-1917.75,None,IT_CSUD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,751.75,0.0,0.0,0.0,154.25,0.0,212.5,1560.5,402.25,3081.25,0.0,158.0,5097.25,3081.25,5255.25,-2174.0,None,IT_CSUD,2026-04-23
2026-01-01 12:00:00+00:00,0.0,737.75,0.0,0.0,0.0,156.25,0.0,210.0,1303.0,651.0,3058.0,0.0,40.5,5160.0,3058.0,5200.5,-2142.5,None,IT_CSUD,2026-04-23
2026-01-01 13:00:00+00:00,0.0,770.0,0.0,0.0,0.0,166.75,0.0,209.0,861.5,784.0,2791.25,0.5,0.0,4932.5,2791.75,4932.5,-2140.75,None,IT_CSUD,2026-04-23
2026-01-01 14:00:00+00:00,0.0,988.5,0.0,0.0,0.0,161.5,0.0,207.5,349.75,895.5,2602.75,0.0,0.25,4940.0,2602.75,4940.25,-2337.5,None,IT_CSUD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1321.75,0.0,0.0,0.0,178.25,0.0,208.0,38.75,954.5,2701.25,0.0,1.25,5209.75,2701.25,5211.0,-2509.75,None,IT_CSUD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1480.75,0.0,0.0,0.0,192.0,9.75,207.5,0.0,1141.25,3031.25,44.0,0.0,5680.0,3075.25,5680.0,-2604.75,None,IT_CSUD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1489.0,0.0,0.0,0.0,224.5,20.0,209.0,0.0,1149.25,3091.75,30.25,0.0,5779.5,3122.0,5779.5,-2657.5,None,IT_CSUD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1487.5,0.0,0.0,0.0,226.75,20.0,212.0,0.0,1029.75,2976.0,42.25,0.0,5844.25,3018.25,5844.25,-2826.0,None,IT_CSUD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1489.75,0.0,0.0,0.0,225.75,0.5,212.0,0.0,1006.25,2934.25,12.25,0.0,5770.25,2946.5,5770.25,-2823.75,None,IT_CSUD,2026-04-23
2026-01-01 20:00:00+00:00,0.0,976.5,0.0,0.0,0.0,189.0,0.0,210.5,0.0,1147.75,2523.75,19.5,0.0,5473.25,2543.25,5473.25,-2930.0,None,IT_CSUD,2026-04-23
2026-01-01 21:00:00+00:00,0.0,756.0,0.0,0.0,0.0,183.25,0.0,206.25,0.0,1397.0,2542.5,0.0,0.5,5223.5,2542.5,5224.0,-2681.5,None,IT_CSUD,2026-04-23
2026-01-01 22:00:00+00:00,0.0,749.25,0.0,0.0,0.0,160.0,0.0,205.25,0.0,1346.5,2461.0,1.25,0.0,4796.25,2462.25,4796.25,-2334.0,None,IT_CSUD,2026-04-23
2026-01-01 23:00:00+00:00,0.0,744.0,0.0,0.0,0.0,161.0,0.0,209.25,0.0,1408.25,2522.5,59.25,0.0,4446.25,2581.75,4446.25,-1864.5,None,IT_CSUD,2026-04-23
2026-01-02 00:00:00+00:00,0.0,740.75,0.0,0.0,0.0,172.75,0.0,209.5,0.0,1565.0,2688.0,0.0,20.0,4193.5,2688.0,4213.5,-1525.5,None,IT_CSUD,2026-04-23
2026-01-02 01:00:00+00:00,0.0,736.5,0.0,0.0,0.0,174.75,0.0,211.0,0.0,1613.0,2735.25,0.0,16.0,4020.75,2735.25,4036.75,-1301.5,None,IT_CSUD,2026-04-23
2026-01-02 02:00:00+00:00,0.0,731.5,0.0,0.0,0.0,176.75,0.0,208.25,0.0,1647.0,2763.5,0.0,277.25,3879.0,2763.5,4156.25,-1392.75,None,IT_CSUD,2026-04-23
2026-01-02 03:00:00+00:00,0.0,740.75,0.0,0.0,0.0,159.5,0.0,206.75,0.0,1714.25,2821.25,0.0,270.5,3946.0,2821.25,4216.5,-1395.25,None,IT_CSUD,2026-04-23
2026-01-02 04:00:00+00:00,0.0,738.25,0.0,0.0,0.0,172.25,0.0,208.0,0.0,1695.5,2814.0,0.0,12.5,4232.0,2814.0,4244.5,-1430.5,None,IT_CSUD,2026-04-23
2026-01-02 05:00:00+00:00,0.0,744.25,0.0,0.0,0.0,179.25,0.0,206.5,0.0,1594.0,2724.0,163.25,0.0,4711.0,2887.25,4711.0,-1823.75,None,IT_CSUD,2026-04-23
2026-01-02 06:00:00+00:00,0.0,740.75,0.0,0.0,0.0,176.5,0.0,211.0,10.25,1607.5,2746.0,521.5,0.0,5407.0,3267.5,5407.0,-2139.5,None,IT_CSUD,2026-04-23
2026-01-02 07:00:00+00:00,0.0,742.75,0.0,0.0,0.0,228.5,0.0,213.5,257.75,1681.25,3123.75,527.5,0.0,6054.0,3651.25,6054.0,-2402.75,None,IT_CSUD,2026-04-23
2026-01-02 08:00:00+00:00,0.0,741.75,0.0,0.0,0.0,230.5,0.0,212.0,812.75,1735.5,3732.5,459.5,0.0,6455.75,4192.0,6455.75,-2263.75,None,IT_CSUD,2026-04-23
2026-01-02 09:00:00+00:00,0.0,737.5,0.0,0.0,0.0,218.25,0.0,212.0,1213.5,1707.5,4088.75,78.0,0.0,6474.5,4166.75,6474.5,-2307.75,None,IT_CSUD,2026-04-23
2026-01-02 10:00:00+00:00,0.0,733.0,0.0,0.0,0.0,213.5,0.0,213.75,1428.25,1792.0,4380.5,0.0,32.5,6540.25,4380.5,6572.75,-2192.25,None,IT_CSUD,2026-04-23
2026-01-02 11:00:00+00:00,0.0,652.25,0.0,0.0,0.0,224.0,0.0,211.5,1272.75,1792.5,4153.0,0.0,116.25,6362.0,4153.0,6478.25,-2325.25,None,IT_CSUD,2026-04-23
2026-01-02 12:00:00+00:00,0.0,585.75,0.0,0.0,0.0,220.75,0.0,210.0,1089.25,1835.25,3941.0,0.0,48.25,6336.75,3941.0,6385.0,-2444.0,None,IT_CSUD,2026-04-23
2026-01-02 13:00:00+00:00,0.0,718.5,0.0,0.0,0.0,193.0,0.0,209.0,756.25,1855.25,3732.0,0.0,24.25,6303.25,3732.0,6327.5,-2595.5,None,IT_CSUD,2026-04-23
2026-01-02 14:00:00+00:00,0.0,1242.75,0.0,0.0,0.0,212.75,0.0,210.5,419.75,1826.25,3912.0,10.5,0.0,6453.25,3922.5,6453.25,-2530.75,None,IT_CSUD,2026-04-23
2026-01-02 15:00:00+00:00,0.0,1450.5,0.0,0.0,0.0,254.75,0.75,211.25,50.25,1765.0,3732.5,25.25,0.0,6776.25,3757.75,6776.25,-3018.5,None,IT_CSUD,2026-04-23
2026-01-02 16:00:00+00:00,0.0,1506.0,0.0,0.0,0.0,260.0,20.0,212.25,0.0,1706.75,3705.0,76.5,0.0,7134.0,3781.5,7134.0,-3352.5,None,IT_CSUD,2026-04-23
2026-01-02 17:00:00+00:00,0.0,1479.25,0.0,0.0,0.0,264.0,0.25,215.5,0.0,1702.5,3661.5,239.25,0.0,7213.75,3900.75,7213.75,-3313.0,None,IT_CSUD,2026-04-23
2026-01-02 18:00:00+00:00,0.0,1399.5,0.0,0.0,0.0,275.25,0.0,216.25,0.0,1740.5,3631.5,109.5,0.0,7230.5,3741.0,7230.5,-3489.5,None,IT_CSUD,2026-04-23
2026-01-02 19:00:00+00:00,0.0,1388.75,0.0,0.0,0.0,279.0,0.0,213.5,0.0,1755.25,3636.5,148.5,0.0,6885.75,3785.0,6885.75,-3100.75,None,IT_CSUD,2026-04-23
2026-01-02 20:00:00+00:00,0.0,1389.25,0.0,0.0,0.0,263.0,0.0,215.5,0.0,1702.5,3570.25,0.0,0.75,6350.25,3570.25,6351.0,-2780.75,None,IT_CSUD,2026-04-23
2026-01-02 21:00:00+00:00,0.0,1134.0,0.0,0.0,0.0,268.0,0.0,214.75,0.0,1740.5,3357.25,0.0,1.25,5817.25,3357.25,5818.5,-2461.25,None,IT_CSUD,2026-04-23
2026-01-02 22:00:00+00:00,0.0,977.5,0.0,0.0,0.0,263.75,0.0,213.0,0.0,1793.75,3248.0,1.75,0.0,5280.5,3249.75,5280.5,-2030.75,None,IT_CSUD,2026-04-23
2026-01-02 23:00:00+00:00,0.0,759.0,0.0,0.0,0.0,260.0,0.0,211.0,0.0,1795.0,3025.0,0.0,45.5,4665.25,3025.0,4710.75,-1685.75,None,IT_CSUD,2026-04-23
2026-01-03 00:00:00+00:00,0.0,725.75,0.0,0.0,0.0,233.25,0.0,208.5,0.0,1768.5,2936.0,0.0,63.25,4253.5,2936.0,4316.75,-1380.75,None,IT_CSUD,2026-04-23
2026-01-03 01:00:00+00:00,0.0,728.0,0.0,0.0,0.0,233.5,0.0,207.5,0.0,1753.0,2922.0,0.0,125.0,3982.0,2922.0,4107.0,-1185.0,None,IT_CSUD,2026-04-23
2026-01-03 02:00:00+00:00,0.0,727.5,0.0,0.0,0.0,223.25,0.0,207.0,0.0,1664.75,2822.5,0.0,193.5,3828.5,2822.5,4022.0,-1199.5,None,IT_CSUD,2026-04-23
2026-01-03 03:00:00+00:00,0.0,728.5,0.0,0.0,0.0,212.0,0.0,208.5,0.0,1675.25,2824.25,0.0,105.25,3799.5,2824.25,3904.75,-1080.5,None,IT_CSUD,2026-04-23
2026-01-03 04:00:00+00:00,0.0,727.5,0.0,0.0,0.0,215.25,0.0,213.25,0.0,1615.25,2771.25,14.25,0.0,3929.75,2785.5,3929.75,-1144.25,None,IT_CSUD,2026-04-23
2026-01-03 05:00:00+00:00,0.0,739.75,0.0,0.0,0.0,240.75,0.0,213.0,0.0,1611.5,2805.0,47.25,0.0,4347.25,2852.25,4347.25,-1495.0,None,IT_CSUD,2026-04-23
2026-01-03 06:00:00+00:00,0.0,809.5,0.0,0.0,0.0,269.75,0.0,216.0,3.5,1542.75,2841.5,65.75,0.0,4794.0,2907.25,4794.0,-1886.75,None,IT_CSUD,2026-04-23
2026-01-03 07:00:00+00:00,0.0,762.5,0.0,0.0,0.0,257.25,0.0,217.25,132.75,1438.5,2808.25,184.5,0.0,5175.0,2992.75,5175.0,-2182.25,None,IT_CSUD,2026-04-23
2026-01-03 08:00:00+00:00,0.0,735.25,0.0,0.0,0.0,241.75,0.0,214.75,350.75,1474.25,3016.75,116.75,0.0,5565.0,3133.5,5565.0,-2431.5,None,IT_CSUD,2026-04-23
2026-01-03 09:00:00+00:00,0.0,730.0,0.0,0.0,0.0,230.0,0.0,212.75,684.25,1442.25,3299.25,4.5,0.0,5735.5,3303.75,5735.5,-2431.75,None,IT_CSUD,2026-04-23
2026-01-03 10:00:00+00:00,0.0,138.25,0.0,0.0,0.0,221.75,0.0,210.25,849.0,1404.5,2823.75,12.0,0.0,5764.25,2835.75,5764.25,-2928.5,None,IT_CSUD,2026-04-23
2026-01-03 11:00:00+00:00,0.0,17.0,0.0,0.0,0.0,228.25,0.0,209.75,906.25,1464.5,2825.75,0.0,82.5,5751.0,2825.75,5833.5,-3007.75,None,IT_CSUD,2026-04-23
2026-01-03 12:00:00+00:00,0.0,16.75,0.0,0.0,0.0,236.0,0.0,210.0,713.25,1502.25,2678.25,0.0,34.5,5678.0,2678.25,5712.5,-3034.25,None,IT_CSUD,2026-04-23
2026-01-03 13:00:00+00:00,0.0,47.5,0.0,0.0,0.0,237.0,0.0,208.0,382.75,1472.75,2348.0,0.0,18.25,5592.0,2348.0,5610.25,-3262.25,None,IT_CSUD,2026-04-23
2026-01-03 14:00:00+00:00,0.0,579.75,0.0,0.0,0.0,255.75,0.0,209.25,124.25,1432.0,2601.0,13.0,0.0,5703.25,2614.0,5703.25,-3089.25,None,IT_CSUD,2026-04-23
2026-01-03 15:00:00+00:00,0.0,1387.5,0.0,0.0,0.0,269.25,0.0,214.5,13.75,1443.75,3328.75,76.75,0.0,6072.5,3405.5,6072.5,-2667.0,None,IT_CSUD,2026-04-23
2026-01-03 16:00:00+00:00,0.0,1592.25,0.0,0.0,0.0,310.0,0.0,215.25,0.0,1463.0,3580.5,208.25,0.0,6556.25,3788.75,6556.25,-2767.5,None,IT_CSUD,2026-04-23
2026-01-03 17:00:00+00:00,0.0,1621.75,0.0,0.0,0.0,280.75,0.5,217.75,0.0,1587.0,3707.75,162.75,0.0,6810.75,3870.5,6810.75,-2940.25,None,IT_CSUD,2026-04-23
2026-01-03 18:00:00+00:00,0.0,1590.25,0.0,0.0,0.0,291.0,12.0,219.25,0.0,1629.5,3742.0,41.5,0.0,6806.25,3783.5,6806.25,-3022.75,None,IT_CSUD,2026-04-23
2026-01-03 19:00:00+00:00,0.0,1555.75,0.0,0.0,0.0,285.75,0.5,219.75,0.0,1693.25,3755.0,1.0,0.0,6516.5,3756.0,6516.5,-2760.5,None,IT_CSUD,2026-04-23
2026-01-03 20:00:00+00:00,0.0,1544.5,0.0,0.0,0.0,293.0,0.0,221.25,0.0,1709.75,3768.5,0.0,6.0,6031.0,3768.5,6037.0,-2268.5,None,IT_CSUD,2026-04-23
2026-01-03 21:00:00+00:00,0.0,925.25,0.0,0.0,0.0,261.75,0.0,215.75,0.0,1723.25,3126.0,0.0,1.75,5437.0,3126.0,5438.75,-2312.75,None,IT_CSUD,2026-04-23
2026-01-03 22:00:00+00:00,0.0,723.25,0.0,0.0,0.0,253.0,0.0,213.25,0.0,1791.25,2980.75,12.0,0.0,4920.5,2992.75,4920.5,-1927.75,None,IT_CSUD,2026-04-23
2026-01-03 23:00:00+00:00,0.0,727.5,0.0,0.0,0.0,255.25,0.0,211.25,0.0,1815.75,3009.75,0.0,26.25,4451.0,3009.75,4477.25,-1467.5,None,IT_CSUD,2026-04-23
2026-01-04 00:00:00+00:00,0.0,724.0,0.0,0.0,0.0,229.5,0.0,210.0,0.0,1779.5,2943.0,0.0,26.75,4115.5,2943.0,4142.25,-1199.25,None,IT_CSUD,2026-04-23
2026-01-04 01:00:00+00:00,0.0,714.0,0.0,0.0,0.0,235.75,0.0,209.25,0.0,1644.5,2803.5,0.0,364.5,3755.25,2803.5,4119.75,-1316.25,None,IT_CSUD,2026-04-23
2026-01-04 02:00:00+00:00,0.0,725.25,0.0,0.0,0.0,248.0,0.0,208.25,0.0,1458.5,2640.0,0.0,180.75,3547.25,2640.0,3728.0,-1088.0,None,IT_CSUD,2026-04-23
2026-01-04 03:00:00+00:00,0.0,728.0,0.0,0.0,0.0,244.5,0.0,209.0,0.0,1434.75,2616.25,0.0,160.25,3531.5,2616.25,3691.75,-1075.5,None,IT_CSUD,2026-04-23
2026-01-04 04:00:00+00:00,0.0,756.5,0.0,0.0,0.0,244.0,0.0,210.25,0.0,1474.25,2685.0,0.0,20.75,3742.75,2685.0,3763.5,-1078.5,None,IT_CSUD,2026-04-23
2026-01-04 05:00:00+00:00,0.0,781.0,0.0,0.0,0.0,283.0,0.0,212.0,0.0,1443.75,2719.75,11.5,0.0,3958.75,2731.25,3958.75,-1227.5,None,IT_CSUD,2026-04-23
2026-01-04 06:00:00+00:00,0.0,1013.25,0.0,0.0,0.0,285.0,0.0,215.0,2.5,1389.0,2904.75,0.0,60.75,4209.75,2904.75,4270.5,-1365.75,None,IT_CSUD,2026-04-23
2026-01-04 07:00:00+00:00,0.0,963.25,0.0,0.0,0.0,296.25,0.0,215.25,80.0,1366.75,2921.5,0.0,219.5,4505.75,2921.5,4725.25,-1803.75,None,IT_CSUD,2026-04-23
2026-01-04 08:00:00+00:00,0.0,1104.0,0.0,0.0,0.0,322.75,0.0,215.0,242.25,1400.75,3284.75,0.0,245.0,4992.75,3284.75,5237.75,-1953.0,None,IT_CSUD,2026-04-23
2026-01-04 09:00:00+00:00,0.0,1075.25,0.0,0.0,0.0,274.25,0.0,213.75,421.75,1464.75,3449.75,0.0,24.25,5330.5,3449.75,5354.75,-1905.0,None,IT_CSUD,2026-04-23
2026-01-04 10:00:00+00:00,0.0,995.5,0.0,0.0,0.0,263.75,0.0,213.25,563.75,1596.0,3632.25,0.0,70.25,5650.5,3632.25,5720.75,-2088.5,None,IT_CSUD,2026-04-23
2026-01-04 11:00:00+00:00,0.0,1101.75,0.0,0.0,0.0,272.0,0.0,212.5,620.25,1589.5,3796.0,0.0,253.5,5850.25,3796.0,6103.75,-2307.75,None,IT_CSUD,2026-04-23
2026-01-04 12:00:00+00:00,0.0,1109.25,0.0,0.0,0.0,289.25,0.0,212.0,462.5,1525.75,3598.75,0.0,290.0,5780.75,3598.75,6070.75,-2472.0,None,IT_CSUD,2026-04-23
2026-01-04 13:00:00+00:00,0.0,1057.5,0.0,0.0,0.0,321.25,0.0,212.5,255.25,1339.75,3186.25,0.0,3.0,5545.25,3186.25,5548.25,-2362.0,None,IT_CSUD,2026-04-23
2026-01-04 14:00:00+00:00,0.0,1315.0,0.0,0.0,0.0,357.25,0.0,214.75,89.75,915.0,2891.75,0.0,0.75,5389.5,2891.75,5390.25,-2498.5,None,IT_CSUD,2026-04-23
2026-01-04 15:00:00+00:00,0.0,1671.5,0.0,0.0,0.0,365.5,0.5,216.0,7.25,748.25,3009.0,0.0,5.75,5432.75,3009.0,5438.5,-2429.5,None,IT_CSUD,2026-04-23
2026-01-04 16:00:00+00:00,0.0,1833.75,0.0,0.0,0.0,361.0,18.5,216.5,0.0,591.25,3021.0,77.0,0.0,5615.5,3098.0,5615.5,-2517.5,None,IT_CSUD,2026-04-23
2026-01-04 17:00:00+00:00,0.0,1893.5,0.0,0.0,0.0,374.0,20.0,215.25,0.0,612.75,3115.5,163.25,0.0,5734.5,3278.75,5734.5,-2455.75,None,IT_CSUD,2026-04-23
2026-01-04 18:00:00+00:00,0.0,1893.25,0.0,0.0,0.0,311.25,20.0,217.5,0.0,654.0,3096.0,159.0,0.0,5880.5,3255.0,5880.5,-2625.5,None,IT_CSUD,2026-04-23
2026-01-04 19:00:00+00:00,0.0,1906.5,0.0,0.0,0.0,355.25,0.5,218.0,0.0,698.0,3178.25,31.75,0.0,5731.25,3210.0,5731.25,-2521.25,None,IT_CSUD,2026-04-23
2026-01-04 20:00:00+00:00,0.0,1498.0,0.0,0.0,0.0,390.25,0.0,215.75,0.0,547.0,2651.0,2.75,0.0,5426.0,2653.75,5426.0,-2772.25,None,IT_CSUD,2026-04-23
2026-01-04 21:00:00+00:00,0.0,1444.0,0.0,0.0,0.0,398.75,0.0,211.75,0.0,608.75,2663.25,8.5,0.0,5124.0,2671.75,5124.0,-2452.25,None,IT_CSUD,2026-04-23
2026-01-04 22:00:00+00:00,0.0,929.0,0.0,0.0,0.0,400.25,0.0,212.25,0.0,740.75,2282.25,0.0,9.75,4575.75,2282.25,4585.5,-2303.25,None,IT_CSUD,2026-04-23
2026-01-04 23:00:00+00:00,0.0,738.5,0.0,0.0,0.0,403.25,0.0,212.25,0.0,734.75,2088.75,0.0,49.75,4289.25,2088.75,4339.0,-2250.25,None,IT_CSUD,2026-04-23
2026-01-05 00:00:00+00:00,0.0,737.0,0.0,0.0,0.0,417.75,0.0,210.0,0.0,613.5,1978.25,0.0,124.25,4026.5,1978.25,4150.75,-2172.5,None,IT_CSUD,2026-04-23
2026-01-05 01:00:00+00:00,0.0,729.0,0.0,0.0,0.0,437.0,0.0,210.0,0.0,851.5,2227.5,0.0,136.75,3936.0,2227.5,4072.75,-1845.25,None,IT_CSUD,2026-04-23
2026-01-05 02:00:00+00:00,0.0,546.0,0.0,0.0,0.0,424.25,0.0,209.75,0.0,980.25,2160.25,0.0,171.25,3862.75,2160.25,4034.0,-1873.75,None,IT_CSUD,2026-04-23
2026-01-05 03:00:00+00:00,0.0,38.5,0.0,0.0,0.0,435.0,0.0,212.75,0.0,891.0,1577.25,0.0,144.5,3760.25,1577.25,3904.75,-2327.5,None,IT_CSUD,2026-04-23
2026-01-05 04:00:00+00:00,0.0,658.5,0.0,0.0,0.0,458.75,0.0,211.75,0.0,627.5,1956.5,7.0,0.0,4105.75,1963.5,4105.75,-2142.25,None,IT_CSUD,2026-04-23
2026-01-05 05:00:00+00:00,0.0,1665.5,0.0,0.0,0.0,516.0,0.0,214.75,0.0,596.25,2992.5,73.0,0.0,4797.0,3065.5,4797.0,-1731.5,None,IT_CSUD,2026-04-23
2026-01-05 06:00:00+00:00,0.0,2800.5,0.0,0.0,0.0,405.0,0.0,219.5,0.5,694.25,4119.75,111.5,0.0,5345.0,4231.25,5345.0,-1113.75,None,IT_CSUD,2026-04-23
2026-01-05 07:00:00+00:00,0.0,2875.75,0.0,0.0,0.0,436.25,0.75,217.75,50.0,775.0,4355.5,287.5,0.0,6016.0,4643.0,6016.0,-1373.0,None,IT_CSUD,2026-04-23
2026-01-05 08:00:00+00:00,0.0,2917.5,0.0,0.0,0.0,430.5,23.0,216.75,200.0,639.0,4426.75,284.5,0.0,6452.5,4711.25,6452.5,-1741.25,None,IT_CSUD,2026-04-23
2026-01-05 09:00:00+00:00,0.0,2943.75,0.0,0.0,0.0,507.75,0.5,214.75,380.75,453.25,4500.75,155.25,0.0,6647.5,4656.0,6647.5,-1991.5,None,IT_CSUD,2026-04-23
2026-01-05 10:00:00+00:00,0.0,2875.5,0.0,0.0,0.0,584.5,0.0,212.75,509.5,269.5,4451.75,157.0,0.0,6817.0,4608.75,6817.0,-2208.25,None,IT_CSUD,2026-04-23
2026-01-05 11:00:00+00:00,0.0,2889.75,0.0,0.0,0.0,555.0,0.0,213.5,637.0,247.5,4542.75,56.25,0.0,6918.0,4599.0,6918.0,-2319.0,None,IT_CSUD,2026-04-23
2026-01-05 12:00:00+00:00,0.0,2924.5,0.0,0.0,0.0,547.5,0.0,212.0,633.25,185.75,4503.0,0.0,2.75,6653.25,4503.0,6656.0,-2153.0,None,IT_CSUD,2026-04-23
2026-01-05 13:00:00+00:00,0.0,3057.0,0.0,0.0,0.0,565.25,0.5,210.0,365.25,144.5,4342.5,48.5,0.0,6552.5,4391.0,6552.5,-2161.5,None,IT_CSUD,2026-04-23
2026-01-05 14:00:00+00:00,0.0,3311.25,0.0,0.0,0.0,535.25,20.25,212.5,177.75,130.25,4387.25,121.75,0.0,6376.0,4509.0,6376.0,-1867.0,None,IT_CSUD,2026-04-23
2026-01-05 15:00:00+00:00,0.0,3760.0,0.0,0.0,0.0,624.25,23.0,215.25,31.5,88.75,4742.75,145.75,0.0,6356.5,4888.5,6356.5,-1468.0,None,IT_CSUD,2026-04-23
2026-01-05 16:00:00+00:00,0.0,3816.25,0.0,0.0,0.0,618.0,23.0,216.0,0.0,43.75,4717.0,225.75,0.0,6614.75,4942.75,6614.75,-1672.0,None,IT_CSUD,2026-04-23
2026-01-05 17:00:00+00:00,0.0,3964.5,0.0,0.0,0.0,643.25,23.0,218.25,0.0,34.0,4883.0,326.75,0.0,6662.75,5209.75,6662.75,-1453.0,None,IT_CSUD,2026-04-23
2026-01-05 18:00:00+00:00,0.0,3827.5,0.0,0.0,0.0,697.75,23.0,219.5,0.0,31.0,4798.75,288.5,0.0,6700.5,5087.25,6700.5,-1613.25,None,IT_CSUD,2026-04-23
2026-01-05 19:00:00+00:00,0.0,3667.25,0.0,0.0,0.0,695.75,23.0,220.0,0.0,32.0,4638.0,148.0,0.0,6329.75,4786.0,6329.75,-1543.75,None,IT_CSUD,2026-04-23
2026-01-05 20:00:00+00:00,0.0,3568.25,0.0,0.0,0.0,659.0,1.5,220.0,0.0,44.5,4493.25,121.75,0.0,5875.25,4615.0,5875.25,-1260.25,None,IT_CSUD,2026-04-23
2026-01-05 21:00:00+00:00,0.0,2816.25,0.0,0.0,0.0,641.75,0.0,218.0,0.0,45.0,3721.0,115.75,0.0,5342.5,3836.75,5342.5,-1505.75,None,IT_CSUD,2026-04-23
2026-01-05 22:00:00+00:00,0.0,2105.0,0.0,0.0,0.0,634.5,0.0,215.25,0.0,55.5,3010.25,73.75,0.0,4924.5,3084.0,4924.5,-1840.5,None,IT_CSUD,2026-04-23
2026-01-05 23:00:00+00:00,0.0,1468.5,0.0,0.0,0.0,608.75,0.0,212.0,0.0,73.25,2362.5,32.75,0.0,4445.5,2395.25,4445.5,-2050.25,None,IT_CSUD,2026-04-23
2026-01-06 00:00:00+00:00,0.0,1324.5,0.0,0.0,0.0,600.75,0.0,210.25,0.0,101.5,2237.0,196.0,0.0,4101.5,2433.0,4101.5,-1668.5,None,IT_CSUD,2026-04-23
2026-01-06 01:00:00+00:00,0.0,1311.0,0.0,0.0,0.0,588.0,0.0,209.25,0.0,85.25,2193.5,0.0,13.75,3800.0,2193.5,3813.75,-1620.25,None,IT_CSUD,2026-04-23
2026-01-06 02:00:00+00:00,0.0,1311.75,0.0,0.0,0.0,587.0,0.0,208.5,0.0,89.0,2196.25,0.0,71.25,3675.5,2196.25,3746.75,-1550.5,None,IT_CSUD,2026-04-23
2026-01-06 03:00:00+00:00,0.0,1302.75,0.0,0.0,0.0,620.25,0.0,206.75,0.0,79.0,2208.75,0.0,450.75,3614.0,2208.75,4064.75,-1856.0,None,IT_CSUD,2026-04-23
2026-01-06 04:00:00+00:00,0.0,1599.25,0.0,0.0,0.0,614.75,0.0,210.75,0.0,75.25,2500.0,0.0,437.25,3782.25,2500.0,4219.5,-1719.5,None,IT_CSUD,2026-04-23
2026-01-06 05:00:00+00:00,0.0,2291.75,0.0,0.0,0.0,588.75,0.0,208.5,0.0,116.0,3205.0,113.0,0.0,4335.25,3318.0,4335.25,-1017.25,None,IT_CSUD,2026-04-23
2026-01-06 06:00:00+00:00,0.0,2746.25,0.0,0.0,0.0,608.5,0.0,212.75,3.75,114.0,3685.25,94.25,0.0,4678.0,3779.5,4678.0,-898.5,None,IT_CSUD,2026-04-23
