,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,21.15,30.40990675,83.828584,38.71744075,0.0,105.97546875,1151.03489,1431.11629025,0.44681725,0.0,1411.2462275,1431.5631075000001,1411.2462275,20.316880000000083,None,LT,2026-04-23
2026-01-01 01:00:00+00:00,21.130001,30.47078725,69.7715485,32.325972,0.0,106.0875565,1291.1784975,1550.96436275,0.0,0.0,1359.454,1550.96436275,1359.454,191.51036275,None,LT,2026-04-23
2026-01-01 02:00:00+00:00,21.130001,29.693254250000003,69.02382025,32.24976475,0.0,89.17780625,1413.528135,1654.8027815,0.0,0.0,1321.399545,1654.8027815,1321.399545,333.40323650000005,None,LT,2026-04-23
2026-01-01 03:00:00+00:00,21.130001,29.379109749999998,25.94230275,34.5554425,0.0,63.0978745,1473.4439375,1647.548668,0.3456945,0.0,1312.2837125,1647.8943625,1312.2837125,335.61064999999985,None,LT,2026-04-23
2026-01-01 04:00:00+00:00,21.130001,29.356693749999998,25.079634,38.01037375,0.0,64.37854875,1336.3738275,1514.32907875,0.0,0.87978,1312.88863,1514.32907875,1313.76841,200.5606687500001,None,LT,2026-04-23
2026-01-01 05:00:00+00:00,21.130001,30.08756325,26.09930775,41.9446815,0.0,59.7330515,1351.7799599999998,1530.7745649999997,0.0,216.90027275,1347.84116,1530.7745649999997,1564.74143275,-33.96686775000035,None,LT,2026-04-23
2026-01-01 06:00:00+00:00,21.260398,30.38495125,26.298562,47.188473,2.2755375,66.75287325,1322.533365,1516.69416,0.0,214.77135775,1364.3570774999998,1516.69416,1579.1284352499997,-62.4342752499997,None,LT,2026-04-23
2026-01-01 07:00:00+00:00,21.310001,28.923916,25.27046025,36.712568,21.181556,59.37715375,1143.302335,1336.07799,0.0,0.0,1393.982955,1336.07799,1393.982955,-57.90496499999995,None,LT,2026-04-23
2026-01-01 08:00:00+00:00,21.310001,29.9643575,25.23159,38.016374,51.42661425,61.201151749999994,1245.6579975,1472.808086,0.0,0.0,1420.33855,1472.808086,1420.33855,52.46953600000006,None,LT,2026-04-23
2026-01-01 09:00:00+00:00,21.310001,30.1866935,25.99901325,42.45544125,69.74739575,59.40172525,1255.9355249999999,1505.0357949999998,4.4167905,0.0,1464.1188275,1509.4525854999997,1464.1188275,45.33375799999976,None,LT,2026-04-23
2026-01-01 10:00:00+00:00,21.310001,29.938751500000002,26.0045475,40.80329775,66.7356025,59.27198575,1323.678635,1567.742821,0.6739055000000003,0.0,1482.48182,1568.4167265,1482.48182,85.93490650000012,None,LT,2026-04-23
2026-01-01 11:00:00+00:00,21.310001,30.0746555,26.51758975,43.1142655,48.549608,59.55498,1573.770485,1802.89158475,0.0,221.31607825,1500.205345,1802.89158475,1721.52142325,81.3701615,None,LT,2026-04-23
2026-01-01 12:00:00+00:00,21.310001,30.336698249999998,25.740562,39.8877175,21.2837925,59.54341075,1520.0656775,1718.1678595,0.0,220.32640625,1494.09052,1718.1678595,1714.41692625,3.7509332500001165,None,LT,2026-04-23
2026-01-01 13:00:00+00:00,21.310001,28.34933925,25.74794825,37.116730000000004,3.6443250000000003,60.183086,1541.877795,1718.2292245,0.0,0.0,1498.5211675,1718.2292245,1498.5211675,219.70805700000005,None,LT,2026-04-23
2026-01-01 14:00:00+00:00,21.310001,30.344395249999998,26.6554755,49.79131425,0.3473095,61.742239749999996,1553.6803300000001,1743.8710652500001,9.0268815,0.0,1565.9112175,1752.89794675,1565.9112175,186.98672925000005,None,LT,2026-04-23
2026-01-01 15:00:00+00:00,20.980746500000002,30.442890499999997,94.9618565,58.7762625,3.15e-05,70.13349525,1628.1995,1903.49478275,12.462088249999999,0.0,1594.374835,1915.956871,1594.374835,321.582036,None,LT,2026-04-23
2026-01-01 16:00:00+00:00,20.037796,30.4576145,82.600799,43.125443,0.0,71.2283925,1587.9389725,1835.3890175000001,82.98077875,0.0,1579.17029,1918.36979625,1579.17029,339.19950625,None,LT,2026-04-23
2026-01-01 17:00:00+00:00,19.72138,30.39902125,95.5242845,48.82309975,0.0,94.030745,1621.4197275,1909.918258,2.212249,0.0,1567.2809225,1912.1305069999999,1567.2809225,344.84958449999976,None,LT,2026-04-23
2026-01-01 18:00:00+00:00,19.79,30.463441250000002,79.24764525,44.3231035,0.0,90.08225775,1622.399935,1886.30638275,2.7592802499999998,0.0,1536.01538,1889.065663,1536.01538,353.05028300000004,None,LT,2026-04-23
