,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,337.63240729910757,6.91015673207454,38.187708256201404,31.856923748676486,99.53289556472518,848.7764750378215,0.0,24.71029496622653,0.0,1831.6303350438184,0.0,0.0,139.76280335134837,IT_CSUD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,345.3403271551212,4.746419719085651,52.857855962544754,39.63897399144736,95.85550810607411,828.0120320855616,0.0,50.6402144772118,0.0,1855.0043902992209,0.0,0.0,151.40427820373284,IT_CSUD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,360.59612692754274,3.498095460199005,69.15465640547264,37.61876632597814,81.89650967035661,677.9280958721705,0.0,98.01626805875925,0.0,1834.0679167515452,0.0,0.0,150.97356452797595,IT_CSUD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,342.53597519231516,2.6608527131782944,78.0516795865633,40.246822842720725,64.80162862284332,493.265264447621,0.0,151.69080922191637,0.0,1578.773998855317,0.0,0.0,136.22296851752475,IT_CSUD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,336.6791323781438,2.907197965982816,68.4512975626863,50.053920008455364,62.02100737105306,483.57359490986215,0.0,149.9337748344371,0.0,1339.6215721051726,0.0,0.0,130.75850286420666,IT_CSUD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,367.444499431373,2.30631339629241,63.8527790655089,40.41767466243526,113.3176691861047,564.7233028593658,41.23341975921316,148.2197802197802,38.02784750549105,1251.1127345869904,2.3975525572638845,125.0057263884531,132.6907003817281,IT_CSUD,2026-04-23
2026-01-01 06:00:00+00:00,84.60201267848642,504.3710311466899,2.3145941399130803,49.995233422122524,76.7210005220945,166.6948955003449,719.9935643564356,0.0,105.37280333322133,0.0,1428.3464784719745,0.231459413991308,0.0,151.10692701472587,IT_CSUD,2026-04-23
2026-01-01 07:00:00+00:00,615.2613015421799,540.8178936537159,0.19879819729594392,41.320296937032,64.7417130052538,69.40198351628665,277.92613438045373,8.329149062332348,120.28687929397309,4.3837638376383765,982.5277482978395,0.6734976151425549,14.408174850979279,87.97266580987697,IT_CSUD,2026-04-23
2026-01-01 08:00:00+00:00,940.7364061482709,411.4883093982884,0.0,30.88571110441583,63.58570885822481,31.2223049134974,112.62443336355393,26.358846555714404,106.78463654465952,37.87928843710292,522.6153251208045,2.949077142744862,125.2010165184244,53.918935894297995,IT_CSUD,2026-04-23
2026-01-01 09:00:00+00:00,1262.8158637609838,475.4152086907394,0.0,27.800818490513084,44.3759774915611,8.502632092025737,0.0,0.0,129.64474498785657,27.323989722027562,588.5036069409242,2.327022524543034,90.04496612940902,45.99516916941644,IT_CSUD,2026-04-23
2026-01-01 10:00:00+00:00,1378.8647120939188,591.3867014527892,0.0,28.024349338468227,22.686022649540167,8.674203366668737,0.0,0.0,139.6062932279395,0.0,631.5487297347661,0.6672464128206721,0.0,48.04174172308839,IT_CSUD,2026-04-23
2026-01-01 11:00:00+00:00,1361.8392187866011,707.1812110724122,0.0,28.43786601077536,21.791499807828213,8.698641368001873,0.0,0.0,134.77714271544937,0.0,705.928203326306,0.6691262590770672,0.0,48.17709065354884,IT_CSUD,2026-04-23
2026-01-01 12:00:00+00:00,1341.8355950665275,823.5687578595217,0.5236986301369864,30.55943166580919,21.75619834710744,9.077442922374429,0.0,0.0,134.3624557260921,17.46359543158357,678.3642922374429,1.2755984964502307,57.437184274104986,52.27574934284887,IT_CSUD,2026-04-23
2026-01-01 13:00:00+00:00,1024.3506989449936,953.5192483617819,1.1321912297170442,33.45431915085567,20.987045033929675,9.812323990881051,0.0,0.0,129.22792198547904,20.33546034639927,816.6872737025614,2.034648300820175,66.94348222424794,53.7653867283333,IT_CSUD,2026-04-23
2026-01-01 14:00:00+00:00,440.5168489675055,1136.3345123715303,1.8628487848784878,34.646016542648056,8.649897214629409,10.763126312631263,0.0,0.0,51.06693473693722,5.884316770186336,1097.424917491749,0.5773248132266643,19.370923913043477,59.15233208103419,IT_CSUD,2026-04-23
